GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
my-project,main.java.com.example,Game,547,0,29,0,86,0,30,0,14,0
my-project,main.java.com.example,Worker,0,38,0,0,0,15,0,7,0,7
my-project,main.java.com.example,Board,0,185,4,16,0,34,4,18,0,12
my-project,main.java.com.example,Validator,223,0,58,0,46,0,37,0,8,0
my-project,main.java.com.example,Grid,0,40,0,0,0,16,0,8,0,8
my-project,main.java.com.example,Player,340,0,52,0,79,0,41,0,15,0
my-project,main.java.com.example,App,169,0,7,0,37,0,9,0,3,0
my-project,main.java.com.example,GameState,186,0,16,0,49,0,21,0,13,0
my-project,main.java.com.example.GodClass,Pan,18,0,2,0,2,0,3,0,2,0
my-project,main.java.com.example.GodClass,Minotaur,194,0,56,0,31,0,34,0,6,0
my-project,main.java.com.example.GodClass,Demeter,71,0,10,0,23,0,10,0,5,0
my-project,main.java.com.example.GodClass,Hephaestus,116,0,24,0,25,0,17,0,5,0
